_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_label,label_gold,label_gold_reason,word1,word2
1143390341,0.50,24,false,"",0.0,,"",antonym,Unclear indicates that something is not clear or there is no clarity. Disputable also has a similar meaning to Unclear so that means that Unclear and Indisputable must have opposite meanings/negating meanings in some contexts.,unclear,indisputable
1143390370,0.18,28,false,"",0.0,,"",antonym,dis is a negating prefix,disproportionately,proportionately
1143390416,0.44,27,false,"",0.0,,"",unrelated,These words are unrelated and have no relationship (Think about replacing one of the words with the other in a sentence),intention,apply
1143390438,0.16,38,false,"",0.0,,"",unrelated,These words are unrelated and have no relationship (Think about replacing one of the words with the other in a sentence),long,import
1143390476,0.28,25,false,"",0.0,,"",antonym,Negating words or can have opposite meanings when used in a sentence,adulthood,immaturity
1143390686,0.69,26,false,"",0.0,,"",other,Not exactly antonyms but have some other relationship (Readily do something vs. Easy to do something),readily,easy
1143390819,0.23,26,false,"",0.0,,"",unrelated,These words are unrelated and have no relationship (Think about replacing one of the words with the other in a sentence),even,head
1143390951,0.32,28,false,"",0.0,,"","antonym
unrelated
other",Not exactly antonyms but have some other relationship,center,left
1143392383,0.54,24,false,"",0.0,,"",antonym,onerous - hard task,onerous,light
1143392464,0.61,18,false,Usurious -  it is about lending of money. Definitely not antonim...kindly review pls.,0.0556,,"",antonym,"Within the context of lending money, here's 2 possible negating sentences with these 2 words : ""lending money at usurious rates"" vs. ""lending money at reasonable rates"". REMEMBER: They do not have to be exact antonyms but words that when used in sentences that lead to a negating pair of sentences must be marked as 'Antonym'.",usurious,reasonable
1143392515,0.05,19,false,"",0.0,,"","antonym
unrelated
other","",upright,lousy
1143392561,0.17,18,false,"",0.0,,"",unrelated,Bod is probably body and has no relation with ground,bod,ground
1143392570,0.00,15,false,"",0.0,,"","antonym
unrelated
other",Not exactly antonyms but have some other relationship,incorrect,decently
1143392575,0.35,20,false,"",0.0,,"",unrelated,"",even,low
1143392577,0.54,13,false,"",0.0,,"",antonym,"",badly,fair
1143392594,0.35,26,false,"",0.0,,"",antonym,"",fear,fearlessness
1143392855,0.40,10,false,"",0.1,,"","unrelated
entailment
other","",tensely,extremely hard
