id,label,word1,word2
2361594126,unrelated,solely,best
2361595263,unrelated,solely,best
2361595730,other,solely,best
2361595965,unrelated,solely,best
2361596272,unrelated,solely,best
2361597952,unrelated,solely,best
2361602777,unrelated,solely,best
2361600180,unrelated,loose,inconvenient
2361600452,other,loose,inconvenient
2365634438,unrelated,loose,inconvenient
2361600385,unrelated,less,static
2361600537,unrelated,less,static
2361600542,other,less,static
2361601597,unrelated,less,static
2361597205,unrelated,speculative,right
2361598966,unrelated,speculative,right
2361599196,antonym,speculative,right
2361600622,unrelated,speculative,right
2365630165,unrelated,speculative,right
2365636449,unrelated,speculative,right
2361592619,unrelated,painful,near
2361593172,unrelated,painful,near
2361594371,unrelated,painful,near
2361596275,unrelated,painful,near
2361596749,unrelated,painful,near
2361599159,unrelated,painful,near
2361603266,unrelated,painful,near
2361596978,unrelated,one-time,later
2361598894,unrelated,one-time,later
2361599001,unrelated,one-time,later
2361600195,unrelated,one-time,later
2361595756,unrelated,ulterior,ago
2361597728,unrelated,ulterior,ago
2361597887,unrelated,ulterior,ago
2361600717,antonym,ulterior,ago
2361600861,unrelated,ulterior,ago
2361602298,unrelated,ulterior,ago
2361593913,unrelated,cold,easily
2361595112,unrelated,cold,easily
2361595922,unrelated,cold,easily
2361602090,unrelated,cold,easily
2361593404,other,applicable,vacancy
2361593434,other,applicable,vacancy
2361593436,other,applicable,vacancy
2361594499,unrelated,applicable,vacancy
2361597593,other,applicable,vacancy
2361601501,unrelated,applicable,vacancy
2361601841,unrelated,applicable,vacancy
2361596657,antonym,harmful,healthy
2361598868,antonym,harmful,healthy
2361598991,antonym,harmful,healthy
2361601478,antonym,harmful,healthy
2361602557,antonym,harmful,healthy
2361602589,antonym,harmful,healthy
2361603004,antonym,harmful,healthy
2361595647,unrelated,generally,long
2361597491,unrelated,generally,long
2361602503,category,generally,long
2365625206,unrelated,generally,long
2361596186,unrelated,hanker,shortly
2361598457,unrelated,hanker,shortly
2361600422,unrelated,hanker,shortly
2361596346,unrelated,problematic,available
2361598434,unrelated,problematic,available
2361598932,antonym,problematic,available
2361599188,unrelated,problematic,available
2361600017,antonym,problematic,available
2361601004,unrelated,problematic,available
2361601486,unrelated,problematic,available
2361596976,other,flora,fauna
2361598895,other,flora,fauna
2361598999,antonym,flora,fauna
2361600019,other,flora,fauna
2361600880,antonym,flora,fauna
2361594123,unrelated,find,indeterminate
2361595266,antonym,find,indeterminate
2361595731,antonym,find,indeterminate
2361595962,unrelated,find,indeterminate
2361596270,unrelated,find,indeterminate
2361597953,antonym,find,indeterminate
2361602779,unrelated,find,indeterminate
2361597206,other,hard-pressed,ripe
2361598968,unrelated,hard-pressed,ripe
2361599193,other,hard-pressed,ripe
2361600621,unrelated,hard-pressed,ripe
2365630414,other,hard-pressed,ripe
2361597587,unrelated,sole,certainly
2361599368,unrelated,sole,certainly
2361599664,unrelated,sole,certainly
2361600130,unrelated,sole,certainly
2361600876,unrelated,sole,certainly
2361601186,unrelated,sole,certainly
2361600581,other,everybody,totally
2361600917,entailment,everybody,totally
2361612139,other,everybody,totally
2361593802,antonym,irreplaceable,replaceable
2361594954,antonym,irreplaceable,replaceable
2361595416,antonym,irreplaceable,replaceable
2361595789,antonym,irreplaceable,replaceable
2361602095,antonym,irreplaceable,replaceable
2361597590,unrelated,total,go
2361599370,unrelated,total,go
2361599662,unrelated,total,go
2361600196,unrelated,total,go
2361601002,unrelated,total,go
2361600183,unrelated,manage,today
2361600448,unrelated,manage,today
2365634154,unrelated,manage,today
2361600776,unrelated,safe,item
2361602840,unrelated,safe,item
2361604243,unrelated,safe,item
2361600373,unrelated,skilful,unfortunate
2361600592,unrelated,skilful,unfortunate
2361601109,antonym,skilful,unfortunate
2361597863,unrelated,powerful,somewhat
2361600050,unrelated,powerful,somewhat
2361611382,unrelated,powerful,somewhat
2365636963,unrelated,powerful,somewhat
2361593594,unrelated,bad,occupy
2361594615,unrelated,bad,occupy
2361595116,unrelated,bad,occupy
2361595757,unrelated,rude,loose
2361597726,unrelated,rude,loose
2361597885,unrelated,rude,loose
2361600128,antonym,rude,loose
2361601183,unrelated,rude,loose
2361602445,unrelated,rude,loose
