_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,label_gold,word1,word2
1143385366,false,finalized,6,1/29/2017 06:05:16,unrelated,0.8434,,solely,best
1143385367,false,finalized,3,2/2/2017 01:56:33,unrelated,0.654,,loose,inconvenient
1143385368,false,finalized,3,1/29/2017 05:59:01,unrelated,0.6604,,less,static
1143385369,false,finalized,4,2/2/2017 01:58:20,unrelated,1.0,,speculative,right
1143385370,false,finalized,7,1/29/2017 06:08:06,unrelated,1.0,,painful,near
1143385371,false,finalized,3,1/29/2017 05:52:49,unrelated,1.0,,one-time,later
1143385372,false,finalized,4,1/29/2017 06:02:36,unrelated,0.7468,,ulterior,ago
1143385373,false,finalized,3,1/29/2017 06:01:37,unrelated,1.0,,cold,easily
1143385374,false,finalized,7,1/29/2017 06:00:20,other,0.5294,,applicable,vacancy
1143385375,false,finalized,5,1/29/2017 06:06:37,antonym,1.0,,harmful,healthy
1143385376,false,finalized,3,2/2/2017 01:48:33,unrelated,0.6517,,generally,long
1143385377,false,finalized,3,1/29/2017 05:53:36,unrelated,1.0,,hanker,shortly
1143385378,false,finalized,5,1/29/2017 05:58:16,unrelated,0.6062,,problematic,available
1143385379,false,finalized,3,1/29/2017 05:52:07,other,0.6764,,flora,fauna
1143385380,false,finalized,6,1/29/2017 06:05:16,antonym,0.508,,find,indeterminate
1143385381,false,finalized,3,2/2/2017 01:52:45,other,0.6609,,hard-pressed,ripe
1143385382,false,finalized,4,1/29/2017 05:56:53,unrelated,1.0,,sole,certainly
1143385383,false,finalized,3,1/29/2017 06:41:50,other,0.6518,,everybody,totally
1143385384,false,finalized,4,1/29/2017 06:01:38,antonym,1.0,,irreplaceable,replaceable
1143385385,false,finalized,4,1/29/2017 05:55:40,unrelated,1.0,,total,go
1143385386,false,finalized,3,2/2/2017 01:56:21,unrelated,1.0,,manage,today
1143385387,false,finalized,3,1/29/2017 06:14:06,unrelated,1.0,,safe,item
1143385388,false,finalized,3,1/29/2017 05:56:32,unrelated,0.6677,,skilful,unfortunate
1143385389,false,finalized,3,2/2/2017 01:58:50,unrelated,1.0,,powerful,somewhat
1143385390,false,finalized,3,1/29/2017 05:36:14,unrelated,1.0,,bad,occupy
1143385391,false,finalized,4,1/29/2017 06:03:12,unrelated,0.7509,,rude,loose
1143385392,false,finalized,5,1/29/2017 05:58:16,unrelated,0.7968,,spiteful,skilful
1143385393,false,finalized,3,2/2/2017 01:54:11,unrelated,1.0,,keister,allow
1143385394,false,finalized,3,1/29/2017 05:52:49,unrelated,1.0,,sparse,foresighted
1143385395,false,finalized,3,2/2/2017 01:53:48,other,0.3484,,barely,available
1143385396,false,finalized,3,1/29/2017 05:51:00,antonym,0.6617,,useful,fruitless
1143385397,false,finalized,3,1/29/2017 05:52:49,unrelated,1.0,,sick,compensate
1143385398,false,finalized,5,1/29/2017 06:06:37,unrelated,0.7982,,l,equal
1143385399,false,finalized,4,1/29/2017 06:01:38,unrelated,0.545,,gentle,complex
1143385400,false,finalized,7,1/29/2017 06:08:06,antonym,0.8631,,excessively,thinly
1143385401,false,finalized,3,1/29/2017 05:36:14,unrelated,1.0,,evenhandedly,bad
1143385402,false,finalized,3,2/2/2017 01:48:33,unrelated,0.6956,,hardworking,loose
1143385403,false,finalized,3,2/2/2017 02:09:37,unrelated,1.0,,comfortably,down
1143385404,false,finalized,3,1/29/2017 05:56:32,unrelated,1.0,,scummy,as
1143385405,false,finalized,3,2/2/2017 01:56:34,unrelated,0.3563,,decent,indefensible
1143385406,false,finalized,3,2/2/2017 01:55:52,antonym,0.6455,,shameful,right
1143385407,false,finalized,3,2/2/2017 01:56:58,unrelated,0.6511,,tight,well-to-do
1143385408,false,finalized,3,2/2/2017 02:06:28,unrelated,0.3412,,well,ill-timed
1143385409,false,finalized,3,1/29/2017 05:53:36,unrelated,0.6894,,incorrect,decently
1143385410,false,finalized,4,1/29/2017 06:01:38,unrelated,0.545,,permissible,intolerable
1143385411,false,finalized,3,1/29/2017 06:03:12,other,0.6706,,easygoing,easily
1143385412,false,finalized,3,1/29/2017 05:56:32,unrelated,1.0,,adequately,strong
1143385413,false,finalized,4,1/29/2017 05:55:06,other,1.0,,decently,fair
1143385414,false,finalized,3,1/29/2017 06:14:06,unrelated,0.6678,,scarce,fountainhead
1143385415,false,finalized,3,1/29/2017 05:59:01,unrelated,0.6604,,disconcert,good
1143385416,false,finalized,3,1/29/2017 06:38:19,unrelated,1.0,,there,back
1143385417,false,finalized,3,1/29/2017 05:51:00,unrelated,1.0,,allow,rude
1143385418,false,finalized,4,1/29/2017 06:01:38,antonym,0.7219,,finale,start
1143385419,false,finalized,3,1/29/2017 05:53:36,unrelated,0.6621,,efficient,unable
1143385420,false,finalized,3,1/29/2017 05:53:36,antonym,0.6486,,nonpartisanship,partiality
1143385421,false,finalized,3,1/29/2017 06:03:12,antonym,0.6706,,unsuitable,ideal
1143385422,false,finalized,3,1/29/2017 06:38:19,unrelated,0.655,,symbolise,representation
1143385423,false,finalized,3,1/29/2017 05:56:32,antonym,1.0,,bad,favourable
1143385424,false,finalized,3,2/2/2017 01:48:33,antonym,1.0,,wildness,tameness
1143385425,false,finalized,3,2/2/2017 01:48:33,unrelated,0.3483,,extricate,entangle
1143385426,false,finalized,8,1/29/2017 06:04:20,other,0.6148,,unmanageable,hard
1143385427,false,finalized,4,1/29/2017 05:56:53,unrelated,1.0,,considerably,gonna
1143385428,false,finalized,3,1/29/2017 06:38:19,unrelated,1.0,,unvoiced,tough
1143385429,false,finalized,3,1/29/2017 05:36:14,unrelated,1.0,,scarce,huh
1143385430,false,finalized,7,1/29/2017 06:00:20,antonym,0.863,,differ,same
1143385431,false,finalized,5,1/29/2017 05:57:45,unrelated,1.0,,no,decease
1143385432,false,finalized,7,1/29/2017 06:00:20,unrelated,0.4157,,sufficiency,underemployment
1143385433,false,finalized,7,1/29/2017 06:00:20,unrelated,0.4386,,respectable,hurtful
1143385434,false,finalized,3,1/29/2017 06:01:37,antonym,1.0,,correctly,mistaken
1143385435,false,finalized,8,1/29/2017 06:04:20,unrelated,0.3904,,justly,alright
1143385436,false,finalized,4,1/29/2017 06:02:36,unrelated,0.7468,,obtuseness,brightness
