word1,word2,label
influence,off,unrelated
immobility,looseness,unrelated
assign,unknown,unrelated
unhappy,fulfil,other
incomplete,discharge,unrelated
acceptable,intolerable,antonym
indecipherable,safe,unrelated
hindrance,noninterference,antonym
dispatch,less,unrelated
son,excessively,unrelated
well,pathetic,other
inhumane,desirable,unrelated
formation,valuable,unrelated
sole,firstly,other
promiscuous,hardworking,antonym
good,okey,synonym
clear,illegible,antonym
surprisingly,clearly,unrelated
imperfect,thoroughgoing,other
deprecate,appreciate,unrelated
unimaginable,feasible,antonym
outrageous,mighty,unrelated
veridical,surreal,unrelated
dependable,hazardous,other
wellspring,minimally,antonym
painful,redress,unrelated
discipline,erroneous,other
more,fancy,unrelated
blue,well,unrelated
huh,single,unrelated
adenine,com,unrelated
bad,rubber,unrelated
cheap,grueling,unrelated
hard-pressed,honest,unrelated
evilness,bad,synonym
insufferable,unacceptable,unrelated
immaterial,useable,unrelated
substantially,weakly,antonym
grueling,easily,antonym
sufficient,curt,other
unlikely,potential,unrelated
mighty,fraudulent,other
obnoxious,eligible,unrelated
failing,strength,other
hanker,marginally,unrelated
rectify,fake,unrelated
incorrect,honorable,unrelated
crazy,rightful,unrelated
impossible,normal,other
sound,lousy,unrelated
