word1,word2,label
egotistic,valid,unrelated
displace,possible,unrelated
uncertain,set,antonym
pregnant,inconsiderable,unrelated
peer,differ,antonym
unwell,mighty,unrelated
finish,start,antonym
powerful,unconscionable,unrelated
dirty,near,unrelated
burdensome,easy,antonym
skilful,awful,antonym
upright,right,unrelated
reckless,dependable,antonym
right,iniquity,synonym
easily,longer,unrelated
cruel,unspoiled,unrelated
mankind,woman,antonym
nah,flush,unrelated
thusly,sure,synonym
good,spot,entailment
badly,table,unrelated
apply,name,unrelated
impossible,hopeless,unrelated
expert,crazy,unrelated
easy,bully,unrelated
good,furthermore,unrelated
badly,harmless,unrelated
peerless,klein,unrelated
severe,lojack,unrelated
ago,ulterior,unrelated
avowedly,fine,unrelated
enceinte,small,unrelated
minute,widen,antonym
liquid,hard,antonym
allow,stool,unrelated
helpless,capture,unrelated
inconsiderable,widely,unrelated
objectionable,correct,antonym
harsh,easy,antonym
correct,rough,unrelated
useful,inefficient,antonym
disability,portray,unrelated
compensate,handsome,unrelated
gloomy,light,antonym
more,straightaway,unrelated
laughable,acceptable,unrelated
cold,unspoiled,unrelated
erroneous,slump,unrelated
wield,no,unrelated
decide,unclear,antonym
