word1,word2,label
aright,outrageous,antonym
lonesome,till,unrelated
omit,available,antonym
unaccepted,eligible,antonym
secure,nasty,unrelated
all-inclusive,inconsiderable,unrelated
unseal,seal,antonym
nil,unity,categorical
gaudy,difficult,unrelated
soft,uncomfortable,unrelated
formal,inform,unrelated
fairly,right,other
hardly,evening,unrelated
merely,isolated,synonym
irrelevant,discipline,unrelated
genuine,inaccurate,antonym
be,article,unrelated
inadequately,substantially,antonym
common,uncommon,antonym
farsighted,anymore,unrelated
naughty,estimable,antonym
unrivalled,zero,unrelated
ice,feel,unrelated
counterfeit,flop,other
surprise,normal,antonym
easy,changeable,entailment
stuffiness,openness,antonym
hotfoot,linger,antonym
rotten,mightily,antonym
unreasonable,wise,antonym
sidereal,civil,unrelated
impetuous,feasible,unrelated
huh,simply,unrelated
anymore,sole,unrelated
specially,interested,unrelated
fancy,small,categorical
reasonable,absurd,antonym
gruelling,light,antonym
spiteful,adept,other
necessary,inefficient,unrelated
compensate,unacceptable,unrelated
unwarranted,well-founded,antonym
dark-green,ripe,categorical
seldom,foresighted,unrelated
rimless,rim,unrelated
logically,surprisingly,unrelated
skilful,unhealthy,unrelated
polite,sassy,other
definitely,merely,unrelated
sole,inter,unrelated
